business_activity,category,scale_or_specification,unit,reference_cost_min_inr,reference_cost_max_inr,cost_basis,source_authority,source_year,state_or_scope,source_page,official_source_url,notes,provenance_priority,use_for_vittanaya
Agriculture drone – spray,Agri-tech,10 Litre spray capacity,unit,650000,1000000,range,NABARD,2025-26,Andhra Pradesh,82,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Agriculture drone – seed planting,Agri-tech,Seed planting drone,unit,475000,1900000,range,NABARD,2025-26,Andhra Pradesh,82,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Vegetable dryer – solar tunnel,Food/agri processing,100–200 sq ft,unit,75000,175000,range,NABARD,2025-26,Andhra Pradesh,82,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Vegetable electric dryer,Food/agri processing,48 trays,unit,300000,450000,range,NABARD,2025-26,Andhra Pradesh,82,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Battery operated tiller with accessories,Farm mechanization,1.2 kW multi-attachment,unit,340000,460000,range,NABARD,2025-26,Andhra Pradesh,83,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Dairy unit (2 milch animals + 1 heifer),Integrated farming,2 milch animals + 1 heifer,unit,166000,166000,fixed_reference,NABARD,2025-26,Andhra Pradesh,66-68,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Backyard poultry unit,Integrated farming,250 birds,unit,170000,170000,fixed_reference,NABARD,2025-26,Andhra Pradesh,67-68,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Field crops,Integrated farming,Rice/Maize/Cotton/Sunflower/Sweet corn/Cowpea,per ha,145000,145000,fixed_reference,NABARD,2025-26,Andhra Pradesh,67-68,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Horticulture unit,Integrated farming,Fruit crops & plantations,per ha,75000,75000,fixed_reference,NABARD,2025-26,Andhra Pradesh,67-68,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Compost unit,Integrated farming,Compost and related components,unit,68300,68300,fixed_reference,NABARD,2025-26,Andhra Pradesh,67-68,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Biogas unit,Integrated farming,Biogas unit,unit,150000,150000,fixed_reference,NABARD,2025-26,Andhra Pradesh,67-68,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Mushroom unit,Integrated farming,Mushroom cultivation,unit,25000,25000,fixed_reference,NABARD,2025-26,Andhra Pradesh,67-68,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Apiculture unit,Integrated farming,Beekeeping,unit,55000,55000,fixed_reference,NABARD,2025-26,Andhra Pradesh,67-68,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Mango,Plantation & horticulture,7.5 x 7.5 m,per acre,130000,130000,fixed_reference,NABARD,2025-26,Andhra Pradesh,87,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Mango – high density,Plantation & horticulture,5 x 5 m,per acre,165000,165000,fixed_reference,NABARD,2025-26,Andhra Pradesh,87,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Mango – ultra high density,Plantation & horticulture,4 x 3 m,per acre,191000,191000,fixed_reference,NABARD,2025-26,Andhra Pradesh,87,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Mango – ultra high density,Plantation & horticulture,2.5 x 2.5 m,per acre,251900,251900,fixed_reference,NABARD,2025-26,Andhra Pradesh,87,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Guava,Plantation & horticulture,6 x 6 m,per acre,130000,130000,fixed_reference,NABARD,2025-26,Andhra Pradesh,87,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Guava – high density,Plantation & horticulture,3 x 3 m,per acre,154300,154300,fixed_reference,NABARD,2025-26,Andhra Pradesh,87,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Custard apple – ultra high density,Plantation & horticulture,2.5 x 2.5 m,per acre,181300,181300,fixed_reference,NABARD,2025-26,Andhra Pradesh,87,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Dragon fruit,Plantation & horticulture,2.5 x 2.5 m,per acre,688600,688600,fixed_reference,NABARD,2025-26,Andhra Pradesh,87-88,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Apple,Plantation & horticulture,5 x 5 m,per acre,129000,129000,fixed_reference,NABARD,2025-26,Andhra Pradesh,88,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Apple,Plantation & horticulture,4 x 4 m,per acre,135000,135000,fixed_reference,NABARD,2025-26,Andhra Pradesh,88,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Ber,Plantation & horticulture,6 x 6 m,per acre,129000,129000,fixed_reference,NABARD,2025-26,Andhra Pradesh,88,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Citrus,Plantation & horticulture,6 x 6 m,per acre,160000,160000,fixed_reference,NABARD,2025-26,Andhra Pradesh,88,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Sapota,Plantation & horticulture,8 x 8 m,per acre,120000,120000,fixed_reference,NABARD,2025-26,Andhra Pradesh,88,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Pomegranate,Plantation & horticulture,5 x 5 m,per acre,165000,165000,fixed_reference,NABARD,2025-26,Andhra Pradesh,88,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Pomegranate,Plantation & horticulture,5 x 3 m,per acre,170000,170000,fixed_reference,NABARD,2025-26,Andhra Pradesh,88,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Pomegranate,Plantation & horticulture,4 x 3 m,per acre,180000,180000,fixed_reference,NABARD,2025-26,Andhra Pradesh,88,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Tissue culture banana,Plantation & horticulture,1.65 x 1.65 m,per acre,129800,129800,fixed_reference,NABARD,2025-26,Andhra Pradesh,89,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Cashew,Plantation & horticulture,6 x 6 m,per acre,150000,150000,fixed_reference,NABARD,2025-26,Andhra Pradesh,89,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Coconut – East Coast Tall,Plantation & horticulture,7.5 x 7.5 m,per acre,145000,145000,fixed_reference,NABARD,2025-26,Andhra Pradesh,89,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Jasmine,Plantation & horticulture,1.5 x 1.5 m,per acre,82300,82300,fixed_reference,NABARD,2025-26,Andhra Pradesh,89,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Oil palm,Plantation & horticulture,9 x 9 m,per acre,108350,108350,fixed_reference,NABARD,2025-26,Andhra Pradesh,89,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Aonla,Plantation & horticulture,6 x 6 m,per acre,120000,120000,fixed_reference,NABARD,2025-26,Andhra Pradesh,89,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Creeper crops – trellis system,Plantation & horticulture,4 x 5.5 m,per acre,359700,359700,fixed_reference,NABARD,2025-26,Andhra Pradesh,89,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Rose,Plantation & horticulture,2 x 2 m,per acre,78900,78900,fixed_reference,NABARD,2025-26,Andhra Pradesh,90,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Chrysanthemum,Plantation & horticulture,30 cm x 30 cm,per acre,135000,135000,fixed_reference,NABARD,2025-26,Andhra Pradesh,90,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Jamun,Plantation & horticulture,6 x 6 m,per acre,81400,81400,fixed_reference,NABARD,2025-26,Andhra Pradesh,90,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Exotic flowers – polyhouse,Protected cultivation,1 x 1 m,per acre,172000,172000,fixed_reference,NABARD,2025-26,Andhra Pradesh,90,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Polyhouses and shade nets – installation,Protected cultivation,Installation,unit,3500000,3500000,fixed_reference,NABARD,2025-26,Andhra Pradesh,90-91,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Capsicum – naturally ventilated polyhouse,Protected cultivation,1000 sq m,1000 sq m,1500000,1500000,fixed_reference,NABARD,2025-26,Andhra Pradesh,91,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Cucumber – naturally ventilated polyhouse,Protected cultivation,1000 sq m,1000 sq m,1650000,1650000,fixed_reference,NABARD,2025-26,Andhra Pradesh,91,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Gerbera – naturally ventilated polyhouse,Protected cultivation,1000 sq m,1000 sq m,1800000,1800000,fixed_reference,NABARD,2025-26,Andhra Pradesh,91,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Rose – naturally ventilated polyhouse,Protected cultivation,1000 sq m,1000 sq m,1450000,1450000,fixed_reference,NABARD,2025-26,Andhra Pradesh,91,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Tomato – naturally ventilated polyhouse,Protected cultivation,1000 sq m,1000 sq m,1150000,1150000,fixed_reference,NABARD,2025-26,Andhra Pradesh,91,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Capsicum – low-cost walk-in tunnel,Protected cultivation,1000 sq m,1000 sq m,800000,800000,fixed_reference,NABARD,2025-26,Andhra Pradesh,91,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Cucumber – low-cost walk-in tunnel,Protected cultivation,1000 sq m,1000 sq m,800000,800000,fixed_reference,NABARD,2025-26,Andhra Pradesh,92,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Tomato – low-cost walk-in tunnel,Protected cultivation,1000 sq m,1000 sq m,800000,800000,fixed_reference,NABARD,2025-26,Andhra Pradesh,92,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Bee keeping,Apiculture,50 colonies,50 colonies,265000,265000,fixed_reference,NABARD,2025-26,Andhra Pradesh,92,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Bamboo,Forestry,5 x 5 m,per ha,102000,102000,fixed_reference,NABARD,2025-26,Andhra Pradesh,92,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Intensive fish culture – Indian Major Carps,Fisheries,"1 ha, 8 months",1 ha,822000,822000,fixed_reference,NABARD,2025-26,Andhra Pradesh,134,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Polyculture of fish and scampi,Fisheries,"1 ha, 11 months",1 ha,491000,491000,fixed_reference,NABARD,2025-26,Andhra Pradesh,134,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Composite fish culture,Fisheries,"2 ha, 11 months",2 ha,623000,623000,fixed_reference,NABARD,2025-26,Andhra Pradesh,134,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Mud crab fattening,Fisheries,"0.1 ha, 20–30 days",0.1 ha,160700,160700,fixed_reference,NABARD,2025-26,Andhra Pradesh,134,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
White shrimp culture (L. vannamei),Fisheries,"1 ha, 3–4 months",1 ha,2953800,2953800,fixed_reference,NABARD,2025-26,Andhra Pradesh,134,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Renovation of ponds for fish culture,Fisheries,"1 ha, 11 months",1 ha,669000,669000,fixed_reference,NABARD,2025-26,Andhra Pradesh,134,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Fish culture,Fisheries,"1 ha, 12 months",1 ha,1793600,1793600,fixed_reference,NABARD,2025-26,Andhra Pradesh,134,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Mud crab culture in HDPE boxes,Fisheries,"0.4 ha, 4–5 months",0.4 ha,2965200,2965200,fixed_reference,NABARD,2025-26,Andhra Pradesh,134,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Mud crab culture in open ponds,Fisheries,"0.4 ha, 4–5 months",0.4 ha,872000,872000,fixed_reference,NABARD,2025-26,Andhra Pradesh,135,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Scampi culture,Fisheries,"1 ha, 4–5 months",1 ha,1592500,1592500,fixed_reference,NABARD,2025-26,Andhra Pradesh,135,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
GIFT tilapia culture,Fisheries,"1 ha, 4–5 months",1 ha,2746000,2746000,fixed_reference,NABARD,2025-26,Andhra Pradesh,135,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Sea bass culture,Fisheries,"1 ha, 12 months",1 ha,1985000,1985000,fixed_reference,NABARD,2025-26,Andhra Pradesh,135,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Pangassius culture,Fisheries,"1 ha, 10–11 months",1 ha,2194800,2194800,fixed_reference,NABARD,2025-26,Andhra Pradesh,135,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
RAS – large,Aquaculture technology,8 tanks; 40 ton/crop,unit,5800000,5800000,fixed_reference,NABARD,2025-26,Andhra Pradesh,136,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
RAS – medium,Aquaculture technology,4 tanks; 10 ton/crop,unit,3000000,3000000,fixed_reference,NABARD,2025-26,Andhra Pradesh,136,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
RAS – small,Aquaculture technology,1 tank / biofloc system,unit,800000,800000,fixed_reference,NABARD,2025-26,Andhra Pradesh,136,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Biofloc ponds – brackish water shrimp,Fisheries,3–4 months,unit,1925000,1925000,fixed_reference,NABARD,2025-26,Andhra Pradesh,137,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Biofloc ponds – freshwater shrimp,Fisheries,3–4 months,unit,1600000,1600000,fixed_reference,NABARD,2025-26,Andhra Pradesh,137,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Stationary/mobile aqua lab,Fisheries services,Fish/shrimp disease diagnosis,unit,4100000,4100000,fixed_reference,NABARD,2025-26,Andhra Pradesh,137,https://www.nabard.org/auth/writereaddata/tender/pub_2409250327511846.pdf,,OFFICIAL_FALLBACK,Fallback reference.
Wooden furniture,Manufacturing,Model project,project,1525000,1525000,model_project_cost,KVIC / PMEGP,varies by profile,India / model profile,,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20WOODEN%20FURNITURE.pdf,"Government model project profile; age varies by profile. Treat as reference, not current quotation.",INDIA_OFFICIAL_FALLBACK,Yes — fallback only when no Odisha-specific official reference exists.
LED based lighting system,Electronics manufacturing,Model project,project,2083000,2083000,model_project_cost,KVIC / PMEGP,varies by profile,India / model profile,,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LEDLampassemblyunit.pdf,"Government model project profile; age varies by profile. Treat as reference, not current quotation.",INDIA_OFFICIAL_FALLBACK,Yes — fallback only when no Odisha-specific official reference exists.
Mini tufting unit,Textile manufacturing,Model project,project,2500000,2500000,model_project_cost,KVIC / PMEGP,varies by profile,India / model profile,,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MiniTuftingunit.pdf,"Government model project profile; age varies by profile. Treat as reference, not current quotation.",INDIA_OFFICIAL_FALLBACK,Yes — fallback only when no Odisha-specific official reference exists.
Children garments,Garments manufacturing,Model project,project,985000,985000,model_project_cost,KVIC / PMEGP,varies by profile,India / model profile,,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20CHILDREN%20GARMENTS.pdf,"Government model project profile; age varies by profile. Treat as reference, not current quotation.",INDIA_OFFICIAL_FALLBACK,Yes — fallback only when no Odisha-specific official reference exists.
Consumer electronics repair,Repair/service,Model project,project,300000,300000,model_project_cost,KVIC / PMEGP,varies by profile,India / model profile,,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20%20PROFILE%20%20ON%20REPAIRS%20%26%20%20MAINTENANCE%20OF%20CONSUMER%20%20ELECTRONIC%20PRODUCTS.pdf,"Government model project profile; age varies by profile. Treat as reference, not current quotation.",INDIA_OFFICIAL_FALLBACK,Yes — fallback only when no Odisha-specific official reference exists.
Wafer biscuits (big type),Food processing,Model project,project,2075000,2075000,model_project_cost,KVIC / PMEGP,varies by profile,India / model profile,,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20WAFER%20BISCUITS%20BIG%20TYPE.pdf,"Government model project profile; age varies by profile. Treat as reference, not current quotation.",INDIA_OFFICIAL_FALLBACK,Yes — fallback only when no Odisha-specific official reference exists.
Blow moulded plastic containers,Plastic manufacturing,Model project,project,1927000,1927000,model_project_cost,KVIC / PMEGP,varies by profile,India / model profile,,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20BLOW%20MOULDED%20PLASTIC%20CONTAINERS.pdf,"Government model project profile; age varies by profile. Treat as reference, not current quotation.",INDIA_OFFICIAL_FALLBACK,Yes — fallback only when no Odisha-specific official reference exists.
Plastic bottles,Plastic manufacturing,Model project,project,880500,880500,model_project_cost,KVIC / PMEGP,varies by profile,India / model profile,,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MODEL%20PROJECT%20PROFILE%20ON%20PLASTIC%20BOTTLE%20%28PCBI%29.pdf,"Government model project profile; age varies by profile. Treat as reference, not current quotation.",INDIA_OFFICIAL_FALLBACK,Yes — fallback only when no Odisha-specific official reference exists.
Toilet soap,Chemical/consumer manufacturing,Model project,project,2500000,2500000,model_project_cost,KVIC / PMEGP,varies by profile,India / model profile,,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20TOILET%20SOAP.pdf,"Government model project profile; age varies by profile. Treat as reference, not current quotation.",INDIA_OFFICIAL_FALLBACK,Yes — fallback only when no Odisha-specific official reference exists.
Liquid detergent,Chemical/consumer manufacturing,Model project,project,400000,400000,model_project_cost,KVIC / PMEGP,varies by profile,India / model profile,,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20LIQUID%20DETERGENT.pdf,"Government model project profile; age varies by profile. Treat as reference, not current quotation.",INDIA_OFFICIAL_FALLBACK,Yes — fallback only when no Odisha-specific official reference exists.
Agri-produce transport vehicle,Transport & logistics,Agricultural produce transport vehicle,vehicle,500000,500000,fixed_reference,NABARD,2025-26,Leh PLP 2025-26,96,https://www.nabard.org/auth/writereaddata/tender/pub_2507251211041674.pdf,Official NABARD PLP unit cost.,OFFICIAL_FALLBACK,Fallback reference.
Agri-produce transport/marketing vehicle,Transport & logistics,Transport vehicle,vehicle,150000,150000,fixed_reference,NABARD,2025-26,Haveri PLP 2025-26,106,https://www.nabard.org/auth/writereaddata/tender/pub_1301250414011327.pdf,Official NABARD PLP unit cost; regional value.,OFFICIAL_FALLBACK,Fallback reference.
Electric two-wheeler for agri-produce transport,Transport & logistics,Electric two-wheeler,vehicle,150000,150000,fixed_reference,NABARD,2025-26,Mysuru PLP 2025-26,Annexure,https://www.nabard.org/auth/writereaddata/tender/pub_1301250419481331.pdf,Official NABARD regional unit cost.,OFFICIAL_FALLBACK,Fallback reference.
Transport vehicle for poultry products,Transport & logistics,Transport vehicle,vehicle,816000,816000,fixed_reference,NABARD,2025-26,Poultry diversified activities,42,https://www.nabard.org/auth/writereaddata/tender/pub_3007251038211712.pdf,Official NABARD unit cost.,OFFICIAL_FALLBACK,Fallback reference.
Refrigerated transport vehicle,Transport & logistics,Refrigerated transport vehicle,vehicle,1530000,1530000,fixed_reference,NABARD,2025-26,Poultry diversified activities,42,https://www.nabard.org/auth/writereaddata/tender/pub_3007251038211712.pdf,Official NABARD unit cost.,OFFICIAL_FALLBACK,Fallback reference.
Bus body building / light commercial vehicle body building,Transport & logistics,Light commercial / heavy commercial vehicle body building,project,1472000,1472000,model_project_cost,KVIC / PMEGP,varies by profile,India / model project profile,1-2,https://kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20BUS%20BODY%20BUILDINGLIGHT%20%20COMMERCIAL%20VEHICLE.pdf,Government model profile; notes costs are indicative and area/input dependent.,INDIA_OFFICIAL_FALLBACK,Yes — fallback only when no Odisha-specific official reference exists.
Computer training institute,Education & training,25-computer training centre,project,1772000,1772000,model_project_cost,KVIC / PMEGP,varies by profile,India / model project profile,,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ComputerTrainingInstitute.pdf,Includes equipment/fixed investment and 3-month working capital in the model profile.,INDIA_OFFICIAL_FALLBACK,Yes — fallback only when no Odisha-specific official reference exists.
Multipurpose computer centre / cyber café,Education & digital services,Computer centre with DTP/IT/training services,project,536000,536000,model_project_cost,KVIC / PMEGP,varies by profile,India / model project profile,,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20MULTIPURPOSE%20COMPUTER%20CENTRECYBER%20CAFE.pdf,Useful as a low-scale education/digital-service reference; profile is older.,INDIA_OFFICIAL_FALLBACK,Yes — fallback only when no Odisha-specific official reference exists.
Private secondary school,Education infrastructure,Secondary school infrastructure,project,30000000,30000000,fixed_reference,NABARD,2025-26,Kalahandi PLP 2025-26,146,https://www.nabard.org/auth/writereaddata/tender/pub_2508251148591818.pdf,Institutional/social-infrastructure reference; not a micro-enterprise quote.,OFFICIAL_FALLBACK,Fallback reference.
Private upper-primary school,Education infrastructure,Upper-primary school infrastructure,project,20000000,20000000,fixed_reference,NABARD,2025-26,Kalahandi PLP 2025-26,146,https://www.nabard.org/auth/writereaddata/tender/pub_2508251148591818.pdf,Institutional/social-infrastructure reference; not a micro-enterprise quote.,OFFICIAL_FALLBACK,Fallback reference.
School bags manufacturing,Education-linked manufacturing,School bag manufacturing unit,project,1759000,1759000,model_project_cost,KVIC / PMEGP,varies by profile,India / model project profile,,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SchoolBag.pdf,Education-linked entrepreneurship example; official project profile.,INDIA_OFFICIAL_FALLBACK,Yes — fallback only when no Odisha-specific official reference exists.
Diagnostic laboratory,Healthcare,Diagnostic lab,project,5000000,5000000,fixed_reference,NABARD,2025-26,Jammu PLP 2025-26,181,https://www.nabard.org/auth/writereaddata/tender/pub_2407250513331658.pdf,Official NABARD social-infrastructure unit cost.,OFFICIAL_FALLBACK,Fallback reference.
Nursing home,Healthcare,Nursing home,project,12000000,12000000,fixed_reference,NABARD,2025-26,Jammu PLP 2025-26,181,https://www.nabard.org/auth/writereaddata/tender/pub_2407250513331658.pdf,Official NABARD social-infrastructure unit cost.,OFFICIAL_FALLBACK,Fallback reference.
Hospital / nursing home / clinic / diagnostic centre – small reference,Healthcare,Small social-infrastructure facility,project,10000000,10000000,fixed_reference,NABARD,2025-26,Bidar district PLP,,https://www.nabard.org/auth/writereaddata/tender/pub_1301250315221313.pdf,Official NABARD social-infrastructure reference; scope is institutional and not a micro-enterprise quotation.,OFFICIAL_FALLBACK,Fallback reference.
Hospital / nursing home / clinic / diagnostic centre – larger reference,Healthcare,Large social-infrastructure facility,project,50000000,50000000,fixed_reference,NABARD,2025-26,Bidar district PLP,,https://www.nabard.org/auth/writereaddata/tender/pub_1301250315221313.pdf,Official NABARD social-infrastructure reference; large institutional scale.,OFFICIAL_FALLBACK,Fallback reference.
Private clinic / hospital,Healthcare,Clinic / hospital reference,project,5000000,5000000,fixed_reference,NABARD,2022-23 reference in available official PLP,Vadodara PLP,70,https://www.nabard.org/auth/writereaddata/tender/0812213647Vadodara.pdf,Older official reference; retain source year and do not present as current market cost.,OFFICIAL_FALLBACK,Fallback reference.
